NAME,POPULATION,TAX,ADMINISTRATION,DEFENCE,EDUCATION,ENVIRONMENT,HEALTHCARE,COMMERCE,INTERNATIONALAID,LAWANDORDER,PUBLICTRANSPORT,SOCIALEQUALITY,SPIRITUALITY,WELFARE
Sagittarius A,3227,64.1,6.4,8,10,6.4,10.4,8,6.4,6.4,6.4,6.4,6.8,18.4
President Putin,3259,52.4,7.7,12.5,7.7,7.7,7.7,7.7,7.7,10.6,7.7,7.7,7.7,7.7
Papa Legba,3266,36.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Czech Republic,4784,19.7,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,10.2
American Samoa,4803,21.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Roderick II,3720,62.1,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Absinthe,7548,29.4,6.5,6.5,6.5,6.5,11.2,12.1,6.5,9.3,6.5,4.7,12.1,11.2
See land,119,20,10,20,10,7.1,11.4,2.9,0,24.3,10,0,0,4.3
Charles gray,101,15.2,11.6,20.9,11.6,0,16.3,0,0,11.6,11.6,2.3,0,14
Rowan I,3726,22.6,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Everything is fine Solm,5655,20.2,8.2,8.2,8.2,7.2,8.2,8.2,8.2,8.2,8.2,8.2,10.3,8.2
AHA,4501,26.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Everything is fine Johz,3746,37.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Neptune,8606,16.8,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Huitzilopochlti,9460,56.1,7,11.4,7,7,7,7,7,9.6,7,7,15.8,7
Happy Folkz,11138,67.4,6,9.6,13.8,6,11.9,3.7,6,7.8,5,10.1,6,14.2
Steel Beamers,860,61.6,7,12.2,13.6,7.2,10.3,8.2,6.4,6.2,7,6,4.9,10.9
New-Aged Zionist Island States,853,23.7,5.2,20.6,20.1,9.3,10.8,5.2,3.6,11.3,10.8,3.1,0,0
Kerderkaderkastan,848,6.1,0,53.1,2.1,0,0,0,0,26.2,0,0,18.6,0
Gwargleblargh,799,47.5,6.4,13.1,16.5,10.3,15.9,12.8,4.7,9.2,8.4,2.5,0,0
Nattfari,1803,4.4,0,0,0,0,0,100,0,0,0,0,0,0
Them There Things,9584,83.1,8,8.4,7.3,11,7.8,7.8,8,11,9.8,8,7.3,5.5
Tucano,2944,22.7,4.4,6.3,19.5,4.4,8.8,13.8,4.4,4.4,4.4,7.5,5.7,16.4
Rideau Park,5906,4.4,0,0,50,0,0,50,0,0,0,0,0,0
Xylose,6678,6.1,0,0,18.8,0,0,50,0,31.2,0,0,0,0
Willow Wisp,6853,10.3,0,41.2,0,0,0,29.4,0,29.4,0,0,0,0
Vald,4092,71.1,5.9,5.9,13.3,5.9,13.3,5.9,5.9,5.9,5.9,5.9,8.9,17
Kratzer,4898,64.7,2.4,19.5,13.8,0,8.6,13.5,2.4,16.9,5.5,9.5,0.5,7.6
Mercato Nero,4967,48,4.3,4.3,19.1,4.3,14.9,6.4,4.3,4.3,4.3,4.3,0,29.8
North American Agent,5695,40.2,6.3,6.3,14.3,6.3,14.3,6.3,6.3,6.3,6.3,6.3,2.4,18.3
Tatok,4075,38.2,5.9,5.9,13.3,5.9,13.3,5.9,5.9,5.9,5.9,5.9,8.9,17
Jorge Mario Bergoglio,5272,35.3,5.7,5.7,10.5,5.7,10.5,7.6,5.7,16.2,5.7,5.7,15.2,5.7
Roget,1989,4.1,0,0,42.9,0,0,57.1,0,0,0,0,0,0
Ouatoueruuthynquyng,5078,80.1,6.8,8.1,9.1,6.8,9.1,6.8,6.8,11.2,6.8,6.8,11.2,10.7
Orion State,1842,77.8,8.1,8.1,8.1,8.1,8.1,8.1,8.1,9.3,8.1,8.1,8.1,9.7
Ellis Lake,7042,4,0,0,42.9,0,0,57.1,0,0,0,0,0,0
Niki Nana,3988,21.4,8.4,8.4,8.4,8.4,8.4,21.1,8.4,8.4,8.4,8.4,0,3.2
Salvador,4895,22.5,0,16,12,0,13.3,25.3,0,21.3,0,0,0,12
Simon River,4581,6.8,0,0,23.3,0,6.7,46.7,0,16.7,0,0,0,6.7
Market Liberty,3264,12,8.8,8.8,17.5,8.8,8.8,12.3,8.8,8.8,8.8,0,0,8.8
Pemberton,4909,0,0,0,0,0,0,100,0,0,0,0,0,0
Alianca,2302,35.3,0,0,16.1,0,16.1,8.9,0,0,0,0,16.1,42.9
AvRae,2545,5.6,0,0,0,0,0,100,0,0,0,0,0,0
Brasil Sul,3674,47.4,3.6,17.4,11.4,1.8,13.7,13,3.6,15.8,6,8.8,1.3,3.6
Brasuca,2119,65.4,3.9,20.7,12.8,0.5,7.1,12.1,3.9,10.3,5.4,10.6,2,10.6
Curitiba,5379,39.1,4.6,18.3,10.6,2.8,7.8,10.1,4.6,19.7,4.6,8.3,1.4,7.3
DBA 7,1895,4.6,0,0,0,0,0,55.6,0,0,0,0,0,44.4
DBA7,1932,4.5,0,0,37.5,0,0,62.5,0,0,0,0,0,0
